type,id,lat,lon,brand,shop,city,street,housenumber,postcode
node,6399981854,47.3315245,8.8076053,Denner,supermarket,Wetzikon (ZH),Bahnhofstrasse,255,8623
node,6408618764,47.5267259,8.9222307,Migros,supermarket,Matzingen,Frauenfelderstrasse,95,9548
node,6410200887,46.6873587,6.9082501,ALDI,supermarket,Romont FR,Route de l'Industrie,7,1680
node,6410203593,46.6925134,6.912314,Migros,supermarket,Romont (FR),Avenue de la Gare,7,1680
node,6417472586,46.995673,8.0668276,Coop,supermarket,Entlebuch,Wilgutstrasse,1,6162
node,6417473085,46.9913225,8.0657571,Denner,supermarket,Entlebuch,Glaubenbergstrasse,12,6162
node,6436889487,46.9398136,8.27091,VOI,supermarket,Alpnach Dorf,Brünigstrasse,29,6055
node,6444727818,47.3071178,8.5903618,Migros,supermarket,Erlenbach,Bahnhofstrasse,42,8703
node,6445018241,47.368409,8.4630252,Migros,supermarket,Uitikon Waldegg,Zürcherstrasse,8,8142
node,6446172109,47.4045843,8.6027754,Aldi,supermarket,Wallisellen,Zwirnereistrasse,7/9,8304
node,6448190899,47.0708753,8.2842142,Denner,supermarket,Emmenbrücke,Seetalstrasse,11,6020
node,6479033700,47.4051315,8.1729499,Lidl,supermarket,Niederlenz,Wildeggerstrasse,5,5702
node,6479074393,47.4007553,8.064905,Lidl,supermarket,Aarau,Neumattstrasse,13-17,5000
node,6498438957,47.0168295,7.4921404,Migros,supermarket,Schönbühl,Industriestrasse,10,3321
node,6528175567,47.4007491,8.4348439,Migros,supermarket,Schlieren,Rietbachstrasse,14,8952
node,6541934447,46.9581546,7.4537816,Migros,supermarket,Bern,Breitenrainstrasse,11,3013
node,6549591104,47.3542256,9.1126996,Volg,supermarket,Oberhelfenschwil,Dorfstrasse,1,9621
node,6564393269,47.1454577,7.2632254,VOI Migros Partner,supermarket,Biel/Bienne,Jakob-Stämpfli-Strasse,112,2502
node,6566460811,47.167425,8.9799232,Coop,supermarket,Reichenburg,Kantonsstrasse,60,8864
node,6567435533,47.1636809,9.473328,Aldi,supermarket,Buchs (SG),Churerstrasse,12,9470
node,6578079925,46.427245,6.2662481,Coop,supermarket,Gland,Allée du Communet,20,1196
node,6582034724,47.5223254,7.6949539,Denner,supermarket,Pratteln,Schlossstrasse,1,4133
node,6587016679,47.5805116,8.5133669,Migros,supermarket,Eglisau,Bauelenzelgstrasse,16,8193
node,6592859586,47.0012612,9.5573184,Volg,supermarket,Jenins,Kreuzgasse,10,7307
node,6605324537,47.1266014,7.2556651,Coop,supermarket,Biel/Bienne,Rue Alexander-Moser / Alexander-Moser-Strasse,81,2503
node,6620989547,47.477521,7.1508046,Volg,supermarket,Bonfol,Rue de la Vendline,83,2944
node,6652920985,47.0436265,8.304805,Denner,supermarket,Luzern,Bundesstrasse,12,6003
node,6684124871,46.3495431,8.9742313,ALDI,supermarket,Biasca,Via Bellinzona,49,6710
node,6688353408,47.1732982,8.518347200000001,Alnatura,supermarket,Zug,Baarerstrasse,22,6300
node,6710832885,47.0543816,8.3084604,Alnatura,supermarket,Luzern,Hertensteinstrasse,40,6004
node,6712081355,47.276806,7.3701198,Migros,supermarket,Moutier,Rue de l'Écluse,1,2740
node,6714871321,47.3065988,8.7574237,Migros,supermarket,Gossau (ZH),Im Zentrum,1,8625
node,6734792611,47.3953281,8.5183575,VOI Migros Partner,supermarket,Zürich,Hönggerstrasse,117,8037
node,6750927182,47.0276194,8.3009461,Migros,supermarket,Kriens,Am Mattenhof,2,6010
node,6763613317,47.3497418,8.7158766,Alnatura,supermarket,Uster,Zürichstrasse,20,8610
node,6782767669,47.2163464,7.1833248,Rolog Krinner Cotub Titan Serac Molok,supermarket,Tavannes,La Combe,12,2710
node,6810431764,47.1753518,8.9121709,ALDI,supermarket,Siebnen,Stachelhofstrasse,4,8854
node,6815640223,47.3325792,8.811601,Volg,supermarket,Wetzikon,Bahnhofstrasse,302,8623
node,6821809534,47.5466147,9.2976249,Migros,supermarket,Amriswil,Rütistrasse,10a,8580
node,6864319131,47.3782978,8.4939806,VOI Migros Partner,supermarket,Zürich,Albisriederstrasse,253,8047
node,6866569480,46.9679815,9.5632226,Denner,supermarket,Landquart,Kantonsstrasse,24,7302
node,6931278967,47.1878801,8.4777518,Lidl,supermarket,Cham,Hinterbergstrasse,19,6330
node,6982801367,47.229771,8.8487477,Coop,supermarket,Jona,St. Gallerstrasse,120,8645
node,6982916707,47.5816147,9.1687776,Denner,supermarket,Berg TG,Bahnhofstrasse,1,8572
node,6991730777,46.9008594,8.2487313,Lidl,supermarket,Sarnen,Pilatusstrasse,14b,6060
node,7017965223,47.0885618,6.8020873,Coop,supermarket,La Chaux-de-Fonds,Boulevard des Eplatures,20,2300
